symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
WMT,2018-09-07 00:00:00+00:00,95.83,96.48,95.64,95.8,6672449,88.0248886789,88.6219478216,87.8503636987,87.9973321031,6672449,0.0,1.0
WMT,2018-09-10 00:00:00+00:00,96.9,97.19,96.09,96.11,8332399,89.007739883,89.2741201159,88.263712336,88.2820833865,8332399,0.0,1.0
WMT,2018-09-11 00:00:00+00:00,96.64,97.66,96.49,97.27,6463535,88.7689162259,89.7058398036,88.6311333468,89.347604318,6463535,0.0,1.0
WMT,2018-09-12 00:00:00+00:00,95.97,96.74,95.93,96.26,5900027,88.1534860327,88.8607714786,88.1167439316,88.4198662656,5900027,0.0,1.0
WMT,2018-09-13 00:00:00+00:00,95.12,95.62,94.91,95.32,7652921,87.3727163846,87.8319926482,87.1798203539,87.5564268901,7652921,0.0,1.0
WMT,2018-09-14 00:00:00+00:00,94.59,94.84,94.35,94.53,6319383,86.8858835452,87.115521677,86.6654309387,86.8307703936,6319383,0.0,1.0
WMT,2018-09-17 00:00:00+00:00,94.82,95.48,94.37,94.75,5329819,87.0971506265,87.7033952944,86.6838019892,87.0328519496,5329819,0.0,1.0
WMT,2018-09-18 00:00:00+00:00,95.43,95.59,94.15,94.46,6760152,87.657467668,87.8044360724,86.4817204333,86.7664717167,6760152,0.0,1.0
WMT,2018-09-19 00:00:00+00:00,95.24,95.89,94.88,95.57,5675135,87.4829426879,88.0800018305,87.1522637781,87.7860650218,5675135,0.0,1.0
WMT,2018-09-20 00:00:00+00:00,95.75,95.79,94.95,95.35,5552332,87.9514044767,87.9881465778,87.216562455,87.5839834659,5552332,0.0,1.0
WMT,2018-09-21 00:00:00+00:00,95.9,96.29,95.63,95.92,9530133,88.0891873558,88.4474228414,87.8411781735,88.1075584064,9530133,0.0,1.0
WMT,2018-09-24 00:00:00+00:00,94.92,96.0,94.86,95.44,5336981,87.1890058792,88.1810426085,87.1338927276,87.6666531933,5336981,0.0,1.0
WMT,2018-09-25 00:00:00+00:00,95.1,96.52,94.99,95.99,6193224,87.3543453341,88.6586899227,87.2533045561,88.1718570833,6193224,0.0,1.0
WMT,2018-09-26 00:00:00+00:00,94.59,95.59,94.52,95.1,5918606,86.8858835452,87.8044360724,86.8215848683,87.3543453341,5918606,0.0,1.0
