symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2018-09-17 00:00:00+00:00,112.14,113.7,111.86,113.69,20736516,106.217499031,107.6951100394,105.9522867987,107.685638174,20736516,0.0,1.0
MSFT,2018-09-18 00:00:00+00:00,113.21,113.7,111.72,112.19,22170934,107.2309886329,107.6951100394,105.8196806825,106.2648583582,22170934,0.0,1.0
MSFT,2018-09-19 00:00:00+00:00,111.7,113.32,111.04,113.05,21728429,105.8007369517,107.3351791527,105.1755938327,107.0794387859,21728429,0.0,1.0
MSFT,2018-09-20 00:00:00+00:00,113.57,113.8,111.93,112.28,23714512,107.5719757887,107.7898286938,106.0185898567,106.3501051471,23714512,0.0,1.0
MSFT,2018-09-21 00:00:00+00:00,114.26,115.29,113.51,114.0,71229698,108.225534504,109.2011366442,107.5151445961,107.9792660026,71229698,0.0,1.0
MSFT,2018-09-24 00:00:00+00:00,114.67,114.9,112.22,113.03,27334460,108.613880987,108.8317338921,106.2932739545,107.060495055,27334460,0.0,1.0
MSFT,2018-09-25 00:00:00+00:00,114.45,115.1,113.75,114.8,22668014,108.4054999473,109.0211712009,107.7424693666,108.7370152377,22668014,0.0,1.0
MSFT,2018-09-26 00:00:00+00:00,113.98,115.06,113.74,114.47,19352025,107.9603222717,108.9832837391,107.7329975012,108.4244436782,19352025,0.0,1.0
MSFT,2018-09-27 00:00:00+00:00,114.41,114.91,114.2,114.78,19091299,108.3676124856,108.8412057575,108.1687033114,108.7180715068,19091299,0.0,1.0
MSFT,2018-09-28 00:00:00+00:00,114.37,114.57,113.68,114.19,21647811,108.3297250238,108.5191623326,107.6761663085,108.1592314459,21647811,0.0,1.0
MSFT,2018-10-01 00:00:00+00:00,115.61,115.68,114.73,114.75,18883079,109.5042363382,109.5705393963,108.6707121796,108.6896559105,18883079,0.0,1.0
MSFT,2018-10-02 00:00:00+00:00,115.15,115.84,114.44,115.3,20787239,109.068530528,109.7220892433,108.3960280819,109.2106085096,20787239,0.0,1.0
MSFT,2018-10-03 00:00:00+00:00,115.17,116.18,114.93,115.42,16648018,109.0874742589,110.0441326682,108.8601494884,109.3242708949,16648018,0.0,1.0
