symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NFLX,2018-08-21 00:00:00+00:00,338.02,341.5,329.7,331.0,14783246,338.02,341.5,329.7,331.0,14783246,0.0,1.0
NFLX,2018-08-22 00:00:00+00:00,344.44,346.21,337.406,338.49,8930669,344.44,346.21,337.406,338.49,8930669,0.0,1.0
NFLX,2018-08-23 00:00:00+00:00,339.17,350.08,337.65,348.11,11336425,339.17,350.08,337.65,348.11,11336425,0.0,1.0
NFLX,2018-08-24 00:00:00+00:00,358.82,359.15,344.541,346.0,14729137,358.82,359.15,344.541,346.0,14729137,0.0,1.0
NFLX,2018-08-27 00:00:00+00:00,364.58,374.49,360.0,367.1453,17427304,364.58,374.49,360.0,367.1453,17427304,0.0,1.0
NFLX,2018-08-28 00:00:00+00:00,368.49,369.99,360.38,367.23,9222617,368.49,369.99,360.38,367.23,9222617,0.0,1.0
NFLX,2018-08-29 00:00:00+00:00,368.04,369.86,362.91,367.2,8118734,368.04,369.86,362.91,367.2,8118734,0.0,1.0
NFLX,2018-08-30 00:00:00+00:00,370.98,376.8085,363.54,365.0,10981013,370.98,376.8085,363.54,365.0,10981013,0.0,1.0
NFLX,2018-08-31 00:00:00+00:00,367.68,376.0,367.0766,370.66,7943443,367.68,376.0,367.0766,370.66,7943443,0.0,1.0
NFLX,2018-09-04 00:00:00+00:00,363.6,368.88,361.26,366.47,7605161,363.6,368.88,361.26,366.47,7605161,0.0,1.0
NFLX,2018-09-05 00:00:00+00:00,341.18,363.39,335.83,360.0,13092847,341.18,363.39,335.83,360.0,13092847,0.0,1.0
NFLX,2018-09-06 00:00:00+00:00,346.46,356.0,341.99,347.44,13050156,346.46,356.0,341.99,347.44,13050156,0.0,1.0
NFLX,2018-09-07 00:00:00+00:00,348.68,355.75,341.25,342.2,9105817,348.68,355.75,341.25,342.2,9105817,0.0,1.0
NFLX,2018-09-10 00:00:00+00:00,348.41,352.5,343.08,352.27,5752184,348.41,352.5,343.08,352.27,5752184,0.0,1.0
NFLX,2018-09-11 00:00:00+00:00,355.93,356.15,343.9001,344.67,6198063,355.93,356.15,343.9001,344.67,6198063,0.0,1.0
NFLX,2018-09-12 00:00:00+00:00,369.95,370.43,356.24,359.08,10480769,369.95,370.43,356.24,359.08,10480769,0.0,1.0
NFLX,2018-09-13 00:00:00+00:00,368.15,374.09,366.84,371.91,8366122,368.15,374.09,366.84,371.91,8366122,0.0,1.0
NFLX,2018-09-14 00:00:00+00:00,364.56,371.09,363.46,368.55,4756426,364.56,371.09,363.46,368.55,4756426,0.0,1.0
NFLX,2018-09-17 00:00:00+00:00,350.35,367.33,349.57,364.22,7071945,350.35,367.33,349.57,364.22,7071945,0.0,1.0
NFLX,2018-09-18 00:00:00+00:00,367.65,368.15,351.56,353.67,10413981,367.65,368.15,351.56,353.67,10413981,0.0,1.0
NFLX,2018-09-19 00:00:00+00:00,366.96,377.61,359.17,373.95,11876841,366.96,377.61,359.17,373.95,11876841,0.0,1.0
NFLX,2018-09-20 00:00:00+00:00,365.36,370.26,363.17,370.26,6768086,365.36,370.26,363.17,370.26,6768086,0.0,1.0
NFLX,2018-09-21 00:00:00+00:00,361.19,372.22,360.74,366.59,11930568,361.19,372.22,360.74,366.59,11930568,0.0,1.0
NFLX,2018-09-24 00:00:00+00:00,369.61,373.64,354.33,359.0,9322522,369.61,373.64,354.33,359.0,9322522,0.0,1.0
NFLX,2018-09-25 00:00:00+00:00,369.43,371.34,364.492,370.23,6799816,369.43,371.34,364.492,370.23,6799816,0.0,1.0
NFLX,2018-09-26 00:00:00+00:00,377.88,382.0,370.88,373.59,13799728,377.88,382.0,370.88,373.59,13799728,0.0,1.0
NFLX,2018-09-27 00:00:00+00:00,380.71,383.2,376.0,379.87,7326246,380.71,383.2,376.0,379.87,7326246,0.0,1.0
